,review_title,text,rating
10,No.,"This is total swill. If you take The Devil's Rejects and suck all the good out of it, and add a lot of twisted, kinky bondage parts, a few rape scenes, and like one or two sincerely horrifying scenes, and you'd get this movie. People are calling this a ripoff of '86's The Hitcher, but I don't see that at all. Even the worst Hitcher ripoffs are still better than this. The main problem on display here is that there's really nothing here besides a few of the director's fetishes being showcased like circus exhibits. Is all you need out of a movie shots of girls being abused and tied up, cowering in fear? Well, then rent this movie!However, I'd rather just watch a good movie, which this is clearly not. The sad thing is, there are some really good thrills waiting to be uncovered here, but only a few. For instance, the suspense at the beginning before the bondage nonsense started...pretty damn good if you ask me. And the scene where the hitchhiker kills the nympho girl (can't remember names) is chilling, very brutal in a way, challenging even The Devil's Rejects for unbridled fury. How come the rest of the movie can't be that good? Huh? I really need to stop renting stupid crap like this. Closing message: Just let this gutter trash die and forget it forever. Not recommended.",2
11,Switched from thriller R movie to made-for-TV movie of the week,This movie was disappointing for at least one of two reasons. The suspense created disappeared because of horrible acting or lack of direction from the director.. I don't know.. it was like a tasty bubble gum that seemed to run out of flavor yet you continue to chew on it because it once tasted great. Like most thrillers The Hitchhiker had promise yet failed to deliver when it had me bright eyed and ready to turn the volume down(I was watching the movie alone.. in the dark) This so called thriller simply came apart like it was made of Lego transforming into something else. It simply ran out of gas and left me staring at a made-for-TV-like style movie with one exception.. it was probably rated-R.,1
12,"do not rent,buy or even download for free",This Movie was the Absolute Worst movie i ever seen i lost all interest when the four girls had 2 chances to kill him and did not i don't care i see people saying oh well you know its not easy to kill some1 Na F that if some1 plan was to kill you and you have the chance to kill them you better go for it. and the 2 stupid cops was another epic fail and due to the fact i don't have enough lines i will copy and paste what i just said This Movie was the Absolute Worst movie i ever seen i lost all interest when the four girls had 2 chances to kill him and did not i don't care i see people saying oh well you know its not easy to kill some1 Na F that if some1 plan was to kill you and you have the chance to kill them you better go for it. and the 2 stupid cops was another epic fail and due to the fact i don't have enough lines i will copy and paste what i just said and me saying this twice means I'm twice upset,1
13,Funny...because acting is so very bad,"The scariest part of this movie is that I am actually taking time out of my day to comment on it. I could be doing something much more productive, like cleaning out my sock drawer. The characters in this movie are beyond stupid to the point you just don't care for them. You can easily find yourself rooting for the main antagonist, ""Rollin' Commando"" Jeff Denton,who himself, comes across like a hipster dufus. This villain is as terrifying as a poodle with the runs. If you had the choice of watching this movie, watching the grass grow, or watching paint dry....then by all means, watch this movie. Grass growing or paint drying aside, I'm sure you could find something to do much more worthy of your time. This movie, however, is not without merit. You could easily use the DVD as a coffee table coaster....or even use it for skeet shooting.",4
14,I don't care what you all think! This is a pretty entertaining low budget picture!,"The Asylum and Leigh Scott get a lot of heat from a lot of people over these films meant to capitalize on big studio productions. The low numbers for The Hitchhiker kind of surprise me though, as I think that it's actually better than the movie it supposedly imitates, the dismal remake of The Hitcher. It makes me wonder if any of the people voting this down even watched it. If this were made in the seventies it would probably be a cult classic right now instead of an object of ridicule.Asylum contract star Jeff Denton gives a pretty good performance as the title madman terrorizing women in his plastic wrapped motel room. He's soft spoken, yet menacing and violent. The girls are all three-dimensional and the actresses that play them are decent enough too.Unlike The Hitcher remake, it takes chances by actually having really unpredictable and violent things happen to some of it's female characters. It's sort of surprising which ones survive and which ones don't.There's one thing I didn't like however, I believe that the film should have climaxed on the dusty Utah road instead of jumping foreword in time several weeks to the main protagonist's house. It kind of robbed the ending of some of it's excitement.",8
15,"JAMES DEAN as a serial killer,Maybe ?","Hitchhiker theasylum's (theasylum.cc) Starring Jeff Denton (interviewed), Shaley Scott( soon to be interviewed). Leigh Scott ( writer & director) brings us his version of the someone who you need to pass by and not stop for. This movie was scary and suspenseful. That said , It has some ugly moments with sheer violence and sending the wrong message towards female abuse. Denton plays the bad guy and has major problems with women, Jeff has played flaming genteels(Pirates Of Treasure Island) and good guys( Beast of Bray Road),This time NOT NICE !We have labeled Denton with JAMES DEAN look, This film is something DEAN may have tried if time and car error had been kinder. Shaley Scott , Is known for her singing and this film proves she can act too. We felt she was really given a opportunity to shine and that is very rare for your first effort on screen with lines. She is also featured on the box art, Which again is quite a kudo. The violence is very real seeming, Especially the gun play has a gritty hurt- producing effect. The ending is questionable for effect, I hate red herring stuff, But the female hero made it all work .",5
16,"The story is believable, Awesome movie!!","Wow. I don't know if i was just in a mood or what but this movie scared the crap out of me. The tag line on the DVD cover is ""you will never take your eyes off the screen"" and it was correct. I was glued to the TV from beginning to end, tensing up, closing my eyes but still watching, I had to use the bathroom, but i refused to pause it. The plot is so real, that is why it scared me. The acting isn't bad, not for a B horror film, the cinematography could have been better, but i have seen much worse. The movie only runs 90 minutes, but i swear it seemed longer because i was enthralled in the story. It's your average hitchhiker story, except the hitchhiker, he's nice looking, you like him even though you know he's a bad person. I have never seen any of these actors and actresses before but I think they did a great job. I do not know why something like ""The Hitcher"" gets in theaters but something actually good, like this movie is thrown to DVD, other than the fact that it is extremely graphic and the teeny bloopers wouldn't be able to watch it. I really enjoyed this film and would recommend it to everyone. 4 out of 4.The DVD is unrated, but there is scenes of rape, language, severe violence, sexual situations other than rape. 90 minutes",10
17,No direction,"All 4 of these women were stupid and slutty. The writer did not even give us a rooting interest for any of these women. They were out of the situation and then went back and did not kill or at the very least frisk the killer for weapons, after one saw the hotel clerk was shot. This was just sloppily done. Not one of the characters even tried a cell phone. This was ridiculous and badly acted. This movie had so many loose ends and evidence staring the viewer in the face with 'Keystone' cops, unable to figure it out. 4 ladies going to Vegas and one of them decides to be like a man and just hop in bed with the killer,before they knew he was a killer, but still. Of course , You had the shallow girl talk of 'size' etc. This was just a bad movie and I give it a 3 based on some action here and there.",3
18,Not bad.,"What impressed me most about The Hitchhiker is that the story unfolds in a logical way. Jack is pretty sick, and he becomes more and more desperate as the situation gets out of his control.Jeff Denton does a good job as the killer. He's good looking and charming enough at first. So it's not hard to believe the women would trust him enough to drive him down the road a few miles, it's 4 against 1 after all. As things go south for him he plays the character as more desperate than over the top evil. A nice change for the genre.The 4 women played by Sarah Lieving, Shaley Scott, Sarah Hall, and Jessica Bork, are likable enough that you sympathize with their ordeal. There is some pretty brutal violence these women go through that I didn't care for. At the same time I knew what I was getting into when I sat down to watch it. Fans of movies like Saw will find this tame.So to sum up. Decent performances, decent script, not for kids. Though I probably wouldn't watch it again, it's not bad for a low budget movie.",4
19,Yuck! Yuck! Yuck!,"Though the movie is brilliant in the beginning, do not let it fool you. this movies contains much sexual abuse and you will certainly be left wishing you never knew it exist. The sexual scenes within the film last for at least 40% of the film. Yuck! I need to clean my brain and my eyes. I will never trust a movie filled with crazy girls again X_XThe idea would have been great, but it was ruined by the abuse and disregard for the girls; not to mention they themselves lacked personal respect. I couldn't finish the film after running into nudity, I literally felt like throwing up after seeing this.Save your time and find something better! :D",1
20,not brilliant but not bad at all.....,"Woodstock villa.....the title seems promising especially for a thriller. but the movie does not live up to the interest it created initially. i agree with a fellow commentator that if this was made a short film of around 10-15 minutes, the impact would be much better. the story is not worthy of a lengthy film but anyways i did not find it totally bad at all. one thing that works in the favor of this movie is sikander kher....the guy has a talent inherited from his parents (Anupam and kiron kher). i wont say the twists were unpredictable but nevertheless overall its a watchable movie... not highly recommended but worth a one time watch, if only for sikander..",5
21,"A thriller that will shock, thrill and surprise the audience. (Minor Spoilers)","The title ""Woodstock Villa"" is a bit odd for a Bollywood movie and I did not know what it is. My best guess is that it is a name of a place and I was right. The story focuses on Samir (Sikander Kher), an unemployed Punjabi boy. Street-smart, Samir has a weakness for beautiful women, easily falling in love with them. So it's not very difficult to imagine Samir falling for Zara's charms. But what makes Zara even more attractive is her proposal  asking him to kidnap her. But little does he know that he is being trapped in a web that is going to change his life forever! Samir needs answers before he gets sucked further in the whirlpool he has created. Beautiful and seductive, Zara (Neha Oberoi) is a charming and wonderful wife in husband Jatin's (Arbaz Khan) eyes. But she can also be totally wild when on her own. Changing personalities on a whim, Zara plans her own abduction to test her husband's love.Jatin is a rich, suave businessman of few words. He zealously guards his social position and values the respect he enjoys from his peers and the media. He also loves his wife Zara. But after her abduction he fears the worst. Is it was too late to express all the feelings he nurtured for her? So when Jatin's wife disappears, a hostile and taunting ransom demand follows. As the true nature of the stakes (for the captor and his captives) are revealed, Woodstock Villa slowly transforms from a film noire into a chilling and shocking thriller. Woodstock Villa is contemporary entertainment that breaks new grounds in Bollywood film-making with every clever twist.Directed by Hansal Mehta, it is a compelling film about swiftly changing moralities in today's world. The film introduces Sikander Kher (son of Anupam Kher). Much loved Bollywood actor, Sanjay Dutt makes a special appearance in a song and dance sequence, while Shakti Kapoor provide able support. Music is pretty good composed by Anu Malik and the best song is Dhoka. The only downside of the film is that it has a bit of dodgy screenplay (which is the story put onto screen), which can be a bit difficult to understand the story but if you listen to every word they say and think hard then you will be able to understand. Overall it is a good and intelligent thriller.",8
22,Very Very Average!,"I saw this movie only because it was a White Feather Production whose previous film Dus Kahaneeyain was a good film(considering all ten stories). It's coming up with new ideas which have never been applied in Bollywood, plus 'The Great Indian Butterfly' and 'Pankh' also look very good in the trailers.But this film was really a disappointment, the new actor Sikander Kher, son of Anupam Kher really dint act well nor did any one else and even the soundtrack is pathetic. The only reason that one can sit through the film is because it's not slow and second that the storyline is not all that bad, mildly predictable but bearable.",4
23,Never waste your money on such a horrible flick!,"With this one ""Bollywood"" has once again proved it keeps on wasting lacs of money to introduce youngsters who can't act, can't dance, don't even look good and most unluckily aren't backed up by good storyline. I went to the theater with lot of expectations from Sikandar(Unfortunately I never saw him in the newspaper, magazines) who is related from the family of great names like Anupam Kher and Kirron Kher. In the end I could only say if you don't have a good face for Hindi movies you must know how to act and how to dance (Unfortunately, my dear, Sikandar, you know nothing of them!!). The whole story is based on a kidnap/murder, which is rather comical than being a thriller. The music scores are pathetic and I must add the songs are not required in the movie at all. And specifically I just don't want to discuss about the storyline because there wasn't any real story behind, it's all real CRAP!",1
24,What a joke!!,"Unbelievably stupid amateur effort.Complete waste of time. Of the 10 people in this theatre in London tonight where I watched it, half walked out midway through the film. I hung around thinking surely things would improve since the plot and direction had hit rock bottom....and how wrong was I...they kept digging. Songs are pointless except one catchy tune. All the songs are out of place though.Film's plot is embarrassingly stupid. The director has gone overboard trying to make this a classy project. The production team must be living on a different planet to think that this movie has anything good to offer. I am so upset wasting my time that I would term this film as a real TRASH. The direction is AWFUL!! Real amateur. A smart kid can do a better job with directing this. 'White Feather Films' - I'll be wary of them henceforth. GUYS STAY WELL AWAY!!!!!!!!",1
25,Disappointing,"Only one word - it was a disappointment. I read some reviews about the movie and someone compared it to johnny gaddar so I was really looking forward to this one. The movie is unexpectedly short. Direction, screenplay is good and so is Sikandar Kher and Neha Uberoi. Its a stylish flick from white feathers but Sikandar deserved a better debut.I think the movie started really well, picked up good pace but loses pace in the middle. There are 3 songs that are so unwanted and annoying. Sanjay Dutt cameo song is good but again they could have just kept it in titles and not made a part of the movie. Both Gulshan Grover's and Shakti Kapoor's characters are added to fill the space. All in all, the story line is really short for a movie. I thought this could be the 11th story that Sanjay Gupta could not fit in Dus Kahaniyaan. If this was made as a 10 min story, it would have been really a good short story.Do you know what is even worst? Even the story that I felt was so short - is not original. Its a copy of 1958 classic Vertigo.",5
26,Not a bad start...,"Sikander is new, and so is Neha. We gotta take it a bit easy on them, come on people. Sikander didn't act bad, and neither did Neha! Of course it's a different thing than Arbaaz Khan doesn't know acting... The storyline wasn't bad...but the soundtrack was humiliating, no doubt. Woodstock Villa, the opening of Sikander and Neha to Bollywood, is, overall, a treat to the eye and the ear. The small twists were little bit expected, but the overall effect was surprising still. If you take my opinion, then if you like movies which pass your time easily, and have a bit of thrill and suspense in them, then go for it. A brilliant cinematography, choreography, beautiful editing and a good production and direction will leave a good impression. The strategy of the whole storyline is good. 6/10 - not a bad start for both the newbies. After all, Times of India gave it a *** and a half...Can't be that bad can it, when Jannat and Bhoothnath got a ** and a half each? Hoping for something better from both next time. Nice try Hansal. Not a bad shot.",8
27,Too much style,"Sanjay Gupta is known for stylish films but at times style overpowers content, WOODSTOCK VILLA is one such film, the film is short in length but has more style and slow motion then a TV serial. The film has an interesting plot and good twists and turns which sometimes are irrational though yet it works at times however the problem is predictability and overdose of styleDirection is decent Music is okaySikander Kher in his debut is raw but does well in some scenes, yet his voice is a distraction and also his presence, Arbaaz Khan is okay Neha Oberoi is okay rest are okay",4
28,Debutant Sikander Kher delivers a confident performance,"The best thing about director Hansal Mehta's Woodstock Villa is that it's only about an hour and a half long. And for the first hour and fifteen minutes, nobody knows what's going on in the film. Nobody but the characters in the film, I presume.Sitting there in my seat I felt like I was being repeatedly stabbed in the eye, blinded by the saturated tones, the zip-zap editing, the crazy camera angles and generally by the filmmaker's irritating attempt to show off with stylish technical gimmickry. How you wish he'd paid as much attention to his wafer-thin plot.Without going into too many details, let me just say the film centres around the kidnapping of a successful businessman's wife and the ransom demand that follows. The kidnapper, one later discovers, may not be calling the shots in this operation after all. Woodstock Villa is one of those films where nothing is what it seems, it's a story of cheating spouses, double-crosses and mistaken identities. Constructed from a screenplay that's full of little holes, the film trades common sense for convenience. And as a result, you find yourself gasping in disbelief at the half-dozen or so slip-ups in the plot. It's the kind of film where cops talk in riddles, and Sanjay Dutt pops up in a pop song for no reason at all. It's the kind of film that thinks adultery and murder are the most lethal ingredients for a tight thriller.On the upside, debutant Sikander Kher delivers a confident performance as a morally questionable lothario caught in a web of deceit. He has an engaging presence and impressive dialogue delivery. Now if only he'd chop those long tresses and take a nice, clean shower. His co-star newcomer Neha Uberoi is easy on the eye, and fortunately is not expected to perform any acting histrionics. Arbaaz Khan, as the businessman whose wife goes missing, turns in a competent performance. Much like Rise and Fall, the short film he co-directed with Sanjay Gupta for that anthology of shorts Dus Kahaniyaan, Hansal Mehta's Woodstock Villa too suffers from the same disease - it's all style and little substance.Watch if you have time to spare, it's not a film I can recommend strongly",3
29,"A movie with ""wooden"" performances, not worth ""stocking"" and obviously not seeing!!!","I'd too much expectation from this one, but it turned out to be a real letdown and the most tragic experience. The plot has been frequented and the execution could only have made the difference. Considering that director is Hansal Mehta (dir of ""CHHAL"" which wasn't outstanding, but nevertheless, was far satisfying than expected), I felt that though the plot isn't fresh, the execution will be effective and make the movie worth watching. But again, I was wrong. It's been handled in the worst way it could have ever been. All the songs were totally unnecessary and were purely intended to extend the duration of the movie, since a movie needs to be more than just an hour. Otherwise, the topic fitted the best for a TV series episode {I remember having watched many TV episodes with same plot, however can remember only one series name for now and that's ""SURAAG"" (produced by Adhikari Brothers; Sudesh Berry playing the lead role) and ""APRADHI KAUN"" with Ashutosh Rana playing lead role}. With the director and script at their worst, most of the actors too tried to match up with them and delivered their worst performance ever (especially Sachin Khedekar). I can't understand why Sikandar (Kher) chose to begin his career with such a disastrous movie script. Anyways, his acting suited his choice, it was also as worst as the movie, if not more!!! There's no point in discussing Neha Uberoi, Arbaaz Khan and others' performances.If you haven't watched this movie as yet, you're quite lucky and do yourself a favor by not even considering to watch it. Save yourself from a tragic experience by skipping Woodstock Villa, a movie which truly deserves to be in a trash box.",1
30,Against Sanity and Logic,A loose story with twists which though intended to bring out awe and thrill instead just ends up disgusting the audience with a senseless and illogical plot. It all starts with a business man played by Arbaaz Khan getting a call from a kidnapper demanding a ransom of 50 lakhs to free his wife . Later revealed that it was a setup by his wife to test the loyalty of his husband planned with a protagonist played by Kher who she befriends in a bar . Seems to be an ordinary story until the time all those twists are un-curtained which sound way to far fetched and completely put off the audience off to an extent level that you just want to leave the movie midway.,3
31,What is the point of this film?,"What on earth is the point of this movie? If someone could explain to me why this film was made, then I would really like to meet you. I'll admit that the camera quality was nice, though. But there were lots of audio inconsistencies, and man oh man, does this story drag along at the pace of a hungover turtle. But what IS the story? And what is the point? The only thing that made the film watchable were a few of the actors who made the best out of a rather weak script. I just think it could have been a lot better had more attention to detail been given from the start. Give us a good story, a good script, and well-written characters. Then maybe it would be something worth watching. If you love making films, then keep working at it. But better luck next time.",1
32,Yawn...,"Happened to take a look at this film from a friend of a friend. But I'm not sure we'll still be friends after they made me sit and watch this thing. I will never get those minutes of my life back! What was the director trying to say with this film? Does it have a purpose? Really flat dialogue, poorly-written characters, the list goes on. I wanted to care about the characters and get involved in their story, but there was barely even a story at all. It seems like maybe it was made just to crack up the crew. I can't imagine any other reason for putting this film together. I could tell that the actors were really trying to make it work, but the whole project just really falls short.",1
33,Great Movie!,"I recently saw Comic Day and I really liked it! The cussing was a bit too much but all around it was a great movie. It was very well acted, and I wish it were even longer. Steve Summers and Josh Gilpatrick were hilarious and perfectly cast! Todd Taylor was perfect as Holden. I was laughing out loud during the scene where is at the drive through. Soshi was a very funny thug too. The kids were also very good! I'd recommend this movie to everyone!",8
34,Funny!,No doubt that Haynes and his crew did the superb job making this master piece out of the limited budget.  All the main characters in the comic book store and its strange shoppers are all funny as hell.  Highly recommend this movie.,10
35,"""I Am Vengeance: Retaliation."" - Plenty of action.","It's obviously a very cheaply made movie, but it's redeeming feature
is that there are plenty of fights, hand to hand - and two badazz girls
who can (and do) take on anybody.The story? Not much, find a guy and bring him in.As long as you don't expect Hollywood gloss, this is almost like a low-budget
""Expendables,"" with plenty of action and enough firepower to fight a war.
There is also some witty banter and funny one-liners. I rate it a 5/10.",5
36,WHAT A SHOCKER!!,"So bad it's hilarious. Acting is dreadful, dialogue is terrible!! We started it and decided to finish watching sadly because we don't give up.",1
37,Just keep going to another movie.,"STOP WRITING FAKE 9 & 10 STAR REVIEWS FOR A TERRIBLE MOVIE!!!!!I tried watching this movie and am turning it off while I type this review. I spent the first 10 minutes watching the movie, the next 15 minutes reading the reviews and these 2-3 minutes doing the review.The acting is terrible, the shootouts are laughable (nobody gets hit) and many times, you can see they don't actually land any of the punches when fighting.Who cares about the plot because it doesn't generally matter in action movies... but yea, the plot is pretty worthless and doesn't help the movie at all.I give it 2 stars because they at least knew how to turn on the cameras and film the scenes.",2
38,Wow,"I expected it to be underwhelming, but this was definitely below my expectations. Lots of fighting, thousands of rounds expended, and nobody really gets hurt.",1
39,Worse than the original.,"I really like Stu Bennett, he's very likeable and a great badass. This movie, however, is a major step down from the first one.Instead of continuing on with John as a lone wolf, very particular and focused (which fit him very well), this movie gave us a bunch of mediocre, cliche characters who took up a lot of screen time that should have gone to John.The two girls had some surprisingly good fight moves, but I still would have preferred the movie without so many side characters.I watch a lot of B movies, so I wasn't expecting a great movie here, but this was definitely a letdown. This one is for completionists, or people who like and/or want to support B movies. Just go in with super low expectations.",3
40,Mindless actioner,"I haven't seen the first film, VENGEANCE, but on the strength of RETALIATION I'm in no hurry to. This is an action film that plays out in an extremely mindless way, with no thought at all having gone into the storyline. It just assembles a number of one-dimensional characters at a warehouse and industrial estate, splits them into two or three factions, and has them fight each other endlessly until the end credits roll. The best thing about it is the fight choreography, with well-executed kicks and satisfying hits throughout, but with no story or decent dialogue alongside it quickly becomes extremely mindless. The hero is a brawny ex-wrestler and Vinnie Jones is the baddie, and the whole thing treads water.",3
41,A proper throwback,"A solid movie that reminded me of the throwback 80s action movies. Ridiculous in concept, completely bonkers with its action and some trademark one liners that raised a smile from me.The film has been locked for being essentially one action scene. Although it's a movie I've seen plenty of times with Arnie, Sly and co, it is still a fun experience to sit back and watch.Vinnie Jones and Stu Bennett have chemistry together that carries this movie. The supporting cast do their bit to keep this going but this is where I knock stars off. The cast is not deep with memorable characters, like the aforementioned 80s movies it is inspired by. And the plot, yeah it is not original.I will recommend to give this a watch, for the two leads, the violence and the sheer fun I had. It's a British action flick which isn't trying to hide what it is, for that it should be commended.",7
42,Lame,"This is one of the lamest un believable movies yet.
I've never seen armed combat but I'm pretty sure shooting at people with a machine gun from 10 feet away is going to hit atleast one of them. Hand gun shooting at 20 30 40 feet and no one got hit??
Just not believable. I've seem prime time tv shows with more carnage and believable action than this.",1
43,It is worst than the first,"This has to be one of the worst action films of all time. Bad script, horrible acting and nonsensical and lousy fight choreography - this movie has it all. It is so bad as to be laughable.",2
